GRAPH,TIME(s),LOWER BOUND,UPPER BOUND,GAP,TERMINATION CONDITION,CAPACITY,LENGTH
data_Graph90_0_11,263.8150248527527,3.0,3.0,0.0,optimal,97,100
data_Graph90_0_14,269.2201566696167,3.0,3.0,0.0,optimal,97,100
data_Graph90_0_18,270.34714698791504,3.0,3.0,0.0,optimal,97,100
data_Graph90_0_13,271.84644198417664,3.0,3.0,0.0,optimal,97,100
data_Graph90_0_10,435.2331483364105,3.0,3.0,0.0,optimal,97,100
data_Graph90_0_7,238.3499264717102,3.0,3.0,0.0,optimal,97,100
data_Graph90_0_17,654.0705223083496,3.0,3.0,0.0,optimal,96,100
data_Graph90_0_5,278.0282247066498,3.0,3.0,0.0,optimal,97,100
data_Graph90_0_9,265.77099323272705,3.0,3.0,0.0,optimal,97,100
data_Graph90_0_6,285.83647060394287,3.0,3.0,0.0,optimal,97,100
data_Graph90_0_16,693.5497913360596,3.0,3.0,0.0,optimal,96,100
data_Graph90_0_8,289.39201045036316,3.0,3.0,0.0,optimal,97,100
data_Graph90_0_3,1196.2796955108643,5.0,5.0,0.0,optimal,96,100
data_Graph90_1_19,364.9851231575012,None,None,0,infeasible,95,100
data_Graph90_1_12,742.4518005847931,3.0,3.0,0.0,optimal,96,100
data_Graph90_1_18,552.6933195590973,3.0,3.0,0.0,optimal,96,100
data_Graph90_1_15,631.9020142555237,3.0,3.0,0.0,optimal,96,100
data_Graph90_1_16,700.0394561290741,None,None,0,infeasible,95,100
data_Graph90_1_17,756.091637134552,None,None,0,infeasible,95,100
data_Graph90_1_2,356.12859082221985,None,None,0,infeasible,95,100
data_Graph90_1_3,343.23173999786377,None,None,0,infeasible,95,100
data_Graph90_1_4,686.9581854343414,3.0,3.0,0.0,optimal,96,100
data_Graph90_0_2,2387.8778116703033,3.0,3.0,0.0,optimal,96,100
data_Graph90_1_7,723.3559048175812,3.0,3.0,0.0,optimal,96,100
data_Graph90_1_13,1910.6622896194458,None,None,0,infeasible,96,100
data_Graph90_1_5,1105.2169277668,3.0,3.0,0.0,optimal,96,100
data_Graph90_1_8,1655.1826450824738,3.0,3.0,0.0,optimal,96,100
data_Graph90_0_1,3684.6254069805145,3.0,3.0,0.0,optimal,96,100
data_Graph90_1_14,4075.328282594681,3.0,3.0,0.0,optimal,96,100
